method,seed,server_step,rpi4_update_share,rpi4_weight_share
fedasync,1337,497,0.0,0.0
fedasync,1337,498,0.0,0.0
fedasync,1337,499,0.0,0.0
fedasync,1337,500,0.0,0.0
fedasync,1337,501,0.0,0.0
fedasync,1337,502,0.0,0.0
fedasync,1337,503,0.0,0.0
fedasync,1337,504,0.0,0.0
fedasync,1337,505,0.0,0.0
fedasync,1337,506,1.0,0.2
fedasync,1337,507,0.0,0.0
fedasync,1337,508,0.0,0.0
fedasync,1337,509,1.0,0.16012815380508713
fedasync,1337,510,1.0,0.15075567228888181
fedasync,1337,511,0.0,0.0
fedasync,1337,512,0.0,0.0
fedasync,1337,513,0.0,0.0
fedasync,1337,514,0.0,0.0
fedasync,1337,515,0.0,0.0
fedasync,1337,516,0.0,0.0
fedasync,1337,517,0.0,0.0
fedasync,1337,518,1.0,0.20412414523193154
fedasync,1337,519,0.0,0.0
fedasync,1337,520,0.0,0.0
fedasync,1337,521,1.0,0.17407765595569785
fedasync,1337,522,0.0,0.0
fedasync,1337,523,0.0,0.0
fedasync,1337,524,0.0,0.0
fedasync,1337,525,0.0,0.0
fedasync,1337,526,0.0,0.0
fedasync,1337,527,0.0,0.0
fedasync,1337,528,0.0,0.0
fedasync,1337,529,0.0,0.0
fedasync,1337,530,0.0,0.0
fedasync,1337,531,1.0,0.2
fedasync,1337,532,0.0,0.0
fedasync,1337,533,0.0,0.0
fedasync,1337,534,0.0,0.0
fedasync,1337,535,0.0,0.0
fedasync,1337,536,1.0,0.19245008972987526
fedasync,1337,537,0.0,0.0
fedasync,1337,538,0.0,0.0
fedasync,1337,539,1.0,0.2182178902359924
fedasync,1337,540,0.0,0.0
fedasync,1337,541,0.0,0.0
fedasync,1337,542,0.0,0.0
fedasync,1337,543,0.0,0.0
fedasync,1337,544,1.0,0.17149858514250882
fedasync,1337,545,0.0,0.0
fedasync,1337,546,0.0,0.0
fedasync,1337,547,0.0,0.0
fedasync,1337,548,0.0,0.0
fedasync,1337,549,0.0,0.0
fedasync,1337,550,0.0,0.0
fedasync,1337,551,0.0,0.0
fedasync,1337,552,1.0,0.1796053020267749
fedasync,1337,553,1.0,0.21320071635561041
fedasync,1337,554,0.0,0.0
fedasync,1337,555,1.0,0.25
fedasync,1337,556,0.0,0.0
fedasync,1337,557,0.0,0.0
fedasync,1337,558,0.0,0.0
fedasync,1337,559,0.0,0.0
fedasync,1337,560,0.0,0.0
fedasync,1337,561,0.0,0.0
fedasync,1337,562,0.0,0.0
fedasync,1337,563,1.0,0.19245008972987526
fedasync,1337,564,0.0,0.0
fedasync,1337,565,0.0,0.0
fedasync,1337,566,0.0,0.0
fedasync,1337,567,0.0,0.0
fedasync,1337,568,0.0,0.0
fedasync,1337,569,0.0,0.0
fedasync,1337,570,0.0,0.0
fedasync,1337,571,0.0,0.0
fedasync,1337,572,1.0,0.24253562503633297
fedasync,1337,573,0.0,0.0
fedasync,1337,574,0.0,0.0
fedasync,1337,575,0.0,0.0
fedasync,1337,576,1.0,0.20851441405707477
fedasync,1337,577,0.0,0.0
fedasync,1337,578,0.0,0.0
fedasync,1337,579,0.0,0.0
fedasync,1337,580,0.0,0.0
fedasync,1337,581,0.0,0.0
fedasync,1337,582,0.0,0.0
fedasync,1337,583,0.0,0.0
fedasync,1337,584,0.0,0.0
fedasync,1337,585,0.0,0.0
fedasync,1337,586,0.0,0.0
fedasync,1337,587,1.0,0.15249857033260467
fedasync,1337,588,0.0,0.0
fedasync,1337,589,0.0,0.0
fedasync,1337,590,0.0,0.0
fedasync,1337,591,1.0,0.16012815380508713
fedasync,1337,592,0.0,0.0
fedasync,1337,593,0.0,0.0
fedasync,1337,594,0.0,0.0
fedasync,1337,595,0.0,0.0
fedasync,1337,596,0.0,0.0
fedasync,1337,597,0.0,0.0
fedasync,1337,598,1.0,0.19611613513818404
fedasync,1337,599,0.0,0.0
fedasync,1337,600,1.0,0.20412414523193154
fedasync,1337,601,1.0,0.16222142113076254
fedasync,1337,602,0.0,0.0
fedasync,1337,603,0.0,0.0
fedasync,1337,604,0.0,0.0
fedasync,1337,605,0.0,0.0
fedasync,1337,606,0.0,0.0
fedasync,1337,607,0.0,0.0
fedasync,1337,608,0.0,0.0
fedasync,1337,609,0.0,0.0
fedasync,1337,610,0.0,0.0
fedasync,1337,611,0.0,0.0
fedasync,1337,612,0.0,0.0
fedasync,1337,613,0.0,0.0
fedasync,1337,614,0.0,0.0
fedasync,1337,615,0.0,0.0
