pair,method,seed,mix,avg_params,train_duration_s,score,run_id,created_at
pair_a_c,heterofl,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.25",339299.6,23.868728440080304,0.6838,i4q3vkvg,2026-04-20T14:59:12Z
pair_a_c,heterofl,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.25",339299.6,23.945577958103968,0.6769,4mw9300n,2026-04-26T23:49:49Z
pair_a_c,heterofl,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.25",339299.6,23.94677461169777,0.6788,mjzr9hyj,2026-04-30T09:11:31Z
pair_a_e,fedrolex,1337,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,6.013602699106559,0.5613,b6ww05t3,2026-04-17T12:48:03Z
pair_a_e,fedrolex,1338,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,5.973175939830253,0.5566,s7pcofa3,2026-04-18T14:14:14Z
pair_a_e,fedrolex,1339,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,5.908431611018022,0.5546,toqv0egd,2026-04-20T02:31:46Z
pair_a_e,fedrolex,1337,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,8.184577197110048,0.6365,gmd6ifbi,2026-04-17T14:04:57Z
pair_a_e,fedrolex,1338,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,8.180125138914445,0.6352,ggejid2j,2026-04-18T15:30:04Z
pair_a_e,fedrolex,1339,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,8.205294221622172,0.6392,tgtbiytc,2026-04-19T16:14:31Z
pair_a_e,fedrolex,1337,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,10.351862869982142,0.6466,i808i58o,2026-04-17T15:22:04Z
pair_a_e,fedrolex,1338,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,10.3598156660737,0.6546,6tuq4894,2026-04-18T16:46:17Z
pair_a_e,fedrolex,1339,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,10.343331174983176,0.6555,1x3m085g,2026-04-19T17:30:36Z
pair_a_e,fedrolex,1337,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,12.624325483845316,0.667,nfd0vfgd,2026-04-17T16:39:43Z
pair_a_e,fedrolex,1338,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,12.5512185562402,0.6635,wtvw7ydd,2026-04-18T18:03:15Z
