task,regime,method,label,seed,run_id,target_acc,target_reached,best_acc,final_acc,target_client_trips,target_wall_clock_s,post_warmup_target_wall_clock_s,final_client_trips,runtime_s,rpi4_weight_share,coverage_gain_mean,coverage_mass_mean
fashion_mnist_cnn,noniid,heterofl,HeteroFL,1337,pt8w9zh4,0.75,True,0.751,0.751,420.0,1175.9010895699976,1121.0407837800012,420.0,1264.5516383010035,0.5,,
fashion_mnist_cnn,noniid,heterofl,HeteroFL,1338,5kq7hj2z,0.75,False,0.7431,0.7431,500.0,1387.4705364140027,1341.7370628909994,500.0,1387.4705364140027,0.5,,
fashion_mnist_cnn,noniid,heterofl,HeteroFL,1339,owxt6cco,0.75,False,0.7244,0.7244,500.0,1512.5221924920045,1463.716400207006,500.0,1512.5221924920045,0.5,,
fashion_mnist_cnn,noniid,async_heterofl,Async HeteroFL,1337,g82jlxnl,0.75,False,0.7467,0.6885,800.0,1661.8816260789972,1563.4636414139968,800.0,1661.8816260789972,0.3921452334861729,,
fashion_mnist_cnn,noniid,async_heterofl,Async HeteroFL,1338,ki8ngk96,0.75,True,0.7584,0.7584,560.0,1087.009664105004,985.8905488710006,560.0,1093.9780718500042,0.3981024843373418,,
fashion_mnist_cnn,noniid,async_heterofl,Async HeteroFL,1339,c0i58l5x,0.75,True,0.769,0.769,480.0,938.1389844740042,840.6033641459944,480.0,945.0719468980096,0.3699693395115473,,
fashion_mnist_cnn,noniid,fedcover_025,FedCover (gamma=0.25),1337,i0c4ku8f,0.75,True,0.7515,0.7515,420.0,801.2902667770031,706.5713184519991,420.0,808.1873233110018,0.3885667992404649,1.5857810974121094,0.15929992496967316
fashion_mnist_cnn,noniid,fedcover_025,FedCover (gamma=0.25),1338,yn1uk84u,0.75,False,0.7461,0.7405,800.0,1742.659222855007,1646.1415329180018,800.0,1742.659222855007,0.4089537586172466,1.2039324045181274,0.4871297776699066
fashion_mnist_cnn,noniid,fedcover_025,FedCover (gamma=0.25),1339,2tk7my56,0.75,True,0.7672,0.7672,460.0,910.1981882249966,813.5443053400086,460.0,917.2082628950012,0.37373476187629845,1.208519458770752,0.4768935739994049
fashion_mnist_cnn,noniid,fedcover_050,FedCover (gamma=0.5),1337,vfepok63,0.75,True,0.7563,0.7563,340.0,660.786754529996,564.0856391380003,340.0,667.8554907929938,0.3908422550656845,1.8338687419891355,0.24765022099018097
fashion_mnist_cnn,noniid,fedcover_050,FedCover (gamma=0.5),1338,50qd2dpx,0.75,True,0.7662,0.7662,420.0,835.3399673140011,741.9579662500037,420.0,842.3460521349989,0.40439154053610415,1.9028946161270144,0.21141882240772247
fashion_mnist_cnn,noniid,fedcover_050,FedCover (gamma=0.5),1339,ayjypqfy,0.75,True,0.756,0.756,480.0,951.123860091,851.2277566760021,480.0,958.1144037420016,0.3674924186788747,1.9141948223114016,0.23299704492092133
fashion_mnist_cnn,noniid,fedcover_100,FedCover (gamma=1.0),1337,ex41xxq2,0.75,True,0.7534,0.7534,260.0,524.9206630179979,425.50345652599935,260.0,531.9052979340049,0.3948877483321767,1.9942994117736816,0.19326353073120117
fashion_mnist_cnn,noniid,fedcover_100,FedCover (gamma=1.0),1338,gr2i8evd,0.75,True,0.7591,0.7591,500.0,993.8616890949924,891.665353092001,500.0,1000.8550762239902,0.4072669078205838,2.0,0.4832029640674591
fashion_mnist_cnn,noniid,fedcover_100,FedCover (gamma=1.0),1339,4tupaano,0.75,True,0.767,0.767,220.0,472.9271351299976,372.9691920699988,220.0,479.9539538469981,0.37790056992322646,1.9962412118911743,0.3262328803539276
fashion_mnist_cnn,noniid,fedbuff_full,Full-model FedBuff,1337,abz74nkf,0.75,True,0.7549,0.7549,180.0,446.1635196900024,344.6677771210015,180.0,453.275273639003,0.38572810198074314,,
fashion_mnist_cnn,noniid,fedbuff_full,Full-model FedBuff,1338,4q3u22we,0.75,True,0.7534,0.7534,140.0,383.74636448199453,273.4904501599958,140.0,390.7194758300029,0.35616251401733173,,
fashion_mnist_cnn,noniid,fedbuff_full,Full-model FedBuff,1339,1wrk9gl0,0.75,True,0.7852,0.7852,220.0,558.8188766289968,449.06205759099976,220.0,565.7959206829983,0.32632906511799664,,
