method,wall_clock_s,accuracy
fedbuff,2760.704000324,0.4072
fedbuff,2782.647226612,0.4079
fedbuff,2782.647476648,0.4079
fedbuff,2806.240533441,0.4084
fedbuff,2806.240808403,0.4084
fedbuff,2830.958292894,0.4085
fedbuff,2830.958585838,0.4085
fedbuff,2854.773271653,0.4086
fedbuff,2854.77351106,0.4086
fedbuff,2879.640284021,0.4095
fedbuff,2879.640786927,0.4095
fedbuff,2910.417282397,0.4091
fedbuff,2910.417857192,0.4091
fedbuff,2932.312717141,0.4098
fedbuff,2932.313015473,0.4098
fedbuff,2956.373055916,0.4095
fedbuff,2956.373343323,0.4095
fedbuff,2981.099937277,0.4089
fedbuff,2981.100144055,0.4089
fedbuff,3016.073064441,0.4095
fedbuff,3016.073315329,0.4095
fedbuff,3037.919232939,0.4106
fedbuff,3037.919578716,0.4106
fedbuff,3062.647155261,0.4107
fedbuff,3062.647747519,0.4107
fedbuff,3100.858475895,0.4102
fedbuff,3100.858991801,0.4102
fedbuff,3122.571173358,0.4113
fedbuff,3122.571848079,0.4113
fedbuff,3150.359054826,0.4116
fedbuff,3150.359365807,0.4116
fedbuff,3172.308899265,0.4117
fedbuff,3172.309121894,0.4117
fedbuff,3196.173668801,0.4114
fedbuff,3196.174061559,0.4114
fedbuff,3241.203300293,0.411
fedbuff,3241.203562459,0.411
fedbuff,3263.144340044,0.4111
fedbuff,3263.144700895,0.4111
fedbuff,3287.114027814,0.4131
fedbuff,3287.114388258,0.4131
fedbuff,3326.062946366,0.4126
fedbuff,3326.063279588,0.4126
fedbuff,3347.935962296,0.4123
fedbuff,3347.93639598,0.4123
fedbuff,3372.800791737,0.4126
fedbuff,3372.801116995,0.4126
fedbuff,3395.879003755,0.4134
fedbuff,3395.879217533,0.4134
fedbuff,3419.718192596,0.4136
fedbuff,3419.71854191,0.4136
fedbuff,3443.513497923,0.4131
fedbuff,3443.514022737,0.4131
fedbuff,3480.599661967,0.4124
fedbuff,3480.599911856,0.4124
fedbuff,3502.490045624,0.412
fedbuff,3502.490555771,0.412
fedbuff,3525.628060719,0.4122
fedbuff,3525.628693273,0.4122
fedbuff,3564.878142388,0.4124
fedbuff,3564.878439295,0.4124
fedbuff,3586.610140962,0.4129
fedbuff,3586.610493684,0.4129
fedbuff,3611.161847008,0.4129
fedbuff,3611.1621231,0.4129
fedbuff,3635.233468148,0.4137
fedbuff,3635.234034535,0.4137
fedbuff,3658.036157443,0.4141
fedbuff,3658.036473424,0.4141
fedbuff,3682.812201989,0.4142
fedbuff,3682.81253184,0.4142
fedbuff,3717.77735168,0.4141
fedbuff,3717.777910605,0.4141
fedbuff,3739.656091524,0.4142
fedbuff,3739.656386894,0.4142
fedbuff,3763.359380536,0.4143
fedbuff,3763.35961398,0.4143
fedbuff,3802.300198433,0.4146
fedbuff,3802.300447506,0.4146
fedbuff,3824.07613963,0.4147
fedbuff,3824.076397222,0.4147
fedbuff,3848.95208266,0.4149
fedbuff,3848.95219166,0.4149
fedbuff,3872.012282229,0.4147
fedbuff,3872.012523654,0.4147
fedbuff,3895.855459857,0.4147
fedbuff,3895.855761208,0.4147
fedbuff,3920.64260803,0.4148
fedbuff,3920.64291214,0.4148
fedbuff,3954.619631052,0.4152
fedbuff,3954.619933477,0.4152
fedbuff,3976.443650198,0.4151
fedbuff,3976.44400716,0.4151
fedstaleweight,66.357378831,0.1102
fedstaleweight,180.937028574,0.1403
fedstaleweight,215.726427454,0.2122
fedstaleweight,261.659086245,0.2854
fedstaleweight,285.417940989,0.2869
fedstaleweight,310.123147514,0.2879
fedstaleweight,310.123677939,0.2879
fedstaleweight,367.591808912,0.3269
fedstaleweight,389.124510958,0.3406
fedstaleweight,389.125033994,0.3406
fedstaleweight,412.711889068,0.3447
fedstaleweight,466.987501542,0.3641
fedstaleweight,491.841691649,0.3687
fedstaleweight,515.464629557,0.3721
fedstaleweight,540.097350659,0.3768
fedstaleweight,563.51992282,0.3766
fedstaleweight,598.531143634,0.3774
fedstaleweight,620.37864394,0.3791
fedstaleweight,642.981223906,0.3777
fedstaleweight,667.640765992,0.3797
fedstaleweight,773.028591521,0.3793
fedstaleweight,773.028950316,0.3793
fedstaleweight,797.349303741,0.3825
fedstaleweight,797.349588073,0.3825
fedstaleweight,835.049045787,0.3836
fedstaleweight,856.554580001,0.3854
fedstaleweight,880.458101772,0.3848
fedstaleweight,904.126766373,0.3867
fedstaleweight,904.127245852,0.3867
fedstaleweight,927.816749749,0.3864
