profile,method,buffer_size,seed,run_id,source,target_reached,target_client_trips,target_wall_clock_s,final_acc,final_client_trips,final_wall_clock_s,rpi4_update_share,rpi4_weight_share,rpi4_staleness,rpi5_staleness,updates_per_second
mild,fedstaleweight,5,1337,3463t0ch,network_stressor_sweep,False,,,0.4888,750,4914.757789327996,0.2386666666666667,0.31672668710145485,3.9720670391061454,2.3852889667250436,0.15325747320632263
mild,fedstaleweight,5,1338,swto4jzv,network_stressor_sweep,True,650,2922.0195835039995,0.6377,650,2943.1891206479995,0.19230769230769232,0.29683602084609784,4.888,2.2476190476190476,0.22244888558225856
mild,fedstaleweight,5,1339,mypog92u,network_stressor_sweep,False,,,0.4792,750,3400.455389928,0.20266666666666663,0.2962324313658891,4.578947368421052,2.289297658862876,0.2219538272840137
med,fedavg,,1337,2hnjmyey,network_stressor_sweep,True,465,5074.522516954981,0.6029,750,5186.387356922991,,,,,0.14460932984476582
med,fedavg,,1338,uono0vnd,network_stressor_sweep,True,345,4190.0037668379955,0.6026,750,4286.419268739002,,,,,0.1749712179276943
med,fedavg,,1339,9u438lpm,network_stressor_sweep,True,465,4234.321093217004,0.6016,750,4341.871456716966,,,,,0.17273657395815675
med,fedbuff,10,1337,semxze1r,network_stressor_sweep,True,810,4164.67192761699,0.6086,810,4185.856450841005,0.20987654320987653,0.17660335041164857,2.276470588235294,1.1375,0.19449311112087503
med,fedbuff,10,1338,v2puht74,network_stressor_sweep,True,910,2385.174125794001,0.6013,910,2406.651430711001,0.13406593406593406,0.09631841960954102,3.5655737704918034,1.0380710659898478,0.3815235081409706
med,fedbuff,10,1339,9row2nir,network_stressor_sweep,True,1050,2806.5259983879514,0.6014,1050,2827.9705748729757,0.14285714285714285,0.10424470431034956,3.2933333333333334,1.0622222222222222,0.3741280147068342
med,fedstaleweight,10,1337,6f88023u,network_stressor_sweep,True,580,3040.0436531689775,0.6012,580,3061.0324273509905,0.2103448275862069,0.3196758573013638,2.262295081967213,1.1310043668122272,0.19078673406396685
med,fedstaleweight,10,1338,kxsizy6s,network_stressor_sweep,True,580,1531.233778894999,0.6042,580,1552.7241933860023,0.13620689655172413,0.30615345534416427,3.4936708860759493,1.0279441117764472,0.3787795227574928
