case,server_round,n,wall_clock_mean_min,wall_clock_std_min,eval_acc_mean_pct,eval_acc_std_pct
B,9,3,67.57490604323333,7.493504291448101,64.15666666666667,1.9445393627626415
B,10,3,73.9497354455,7.575602069539952,65.68333333333334,1.817810037746883
B,11,3,80.29427099380557,7.681034367453203,66.87,1.5769273921141735
B,12,3,86.67848734311667,7.772368020173332,67.90666666666665,1.4306059322305829
B,13,3,93.01947877787778,7.8471618787508035,68.86333333333333,1.3712160053519384
B,14,3,99.35432301617222,7.930302980289286,69.67333333333333,1.2567550808862242
B,15,3,105.68792398800001,8.020623736336526,70.31,1.2238872497088902
B,16,3,112.05281200143334,8.105200679681857,70.92999999999999,1.214454610102824
B,17,3,118.42626089075556,8.243070271399532,71.58666666666666,1.0404005638855311
B,18,3,124.78408647765555,8.325852453525918,72.16333333333334,1.0858330135584107
B,19,3,131.15200444876112,8.385222279301606,72.52666666666666,0.8696167738339321
B,20,3,137.5019175665111,8.515945626332703,73.12,0.9501578816175791
C,0,3,7.055148056061111,6.69044010568058,9.593333333333334,1.4690926905179724
C,1,3,18.974517968327778,14.938946318520728,28.963333333333335,3.665328543709734
C,2,3,20.91629221538889,14.927488095511716,38.62,3.8271268596690153
C,3,3,22.85730701449445,14.95922646352754,43.65,3.890334175877438
C,4,3,24.80986899412778,14.966654149919576,47.61333333333334,3.6400595233228437
C,5,3,26.76379533841111,14.992027336070775,51.173333333333325,3.051627980821604
C,6,3,28.709034109527778,14.98927248194171,53.596666666666664,3.120518119372694
C,7,3,30.688345710205557,15.004694293284054,55.59333333333333,2.9319333780516423
C,8,3,32.62335336628889,15.028684309470867,57.196666666666665,2.705186376820145
C,9,3,34.57730204608333,15.039350925006957,58.43666666666667,2.7829899987842834
C,10,3,36.53598869188889,15.057668163369526,59.42333333333334,2.9619306766589473
C,11,3,38.47286007585,15.080223954914885,60.34,3.093493171157814
C,12,3,40.41921826008333,15.07779973016338,61.02333333333334,2.8863875923606206
