run_id,method,buffer_size,source,server_step,client_trips_total,node_id,device_type,staleness
f8r1yqsh,fedbuff,5,network_stressor_sweep,51,253,3881793369496197376,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,51,254,15850264181746673684,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,51,255,14244411391788972660,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,52,256,8335552894148306858,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,52,257,2597728084587060721,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,52,258,1287847929735971682,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,52,259,13203157195360056689,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,52,260,14273504822268314706,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,53,261,8772456477865701634,rpi4,6
f8r1yqsh,fedbuff,5,network_stressor_sweep,53,262,2149541508140645213,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,53,263,15227569813693182211,rpi4,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,53,264,2941161713698846158,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,53,265,17865354463084643977,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,54,266,15850264181746673684,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,54,267,8604023571656330016,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,54,268,16788588506036931967,rpi4,6
f8r1yqsh,fedbuff,5,network_stressor_sweep,54,269,1287847929735971682,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,54,270,8335552894148306858,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,55,271,2597728084587060721,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,55,272,14244411391788972660,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,55,273,2149541508140645213,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,55,274,3881793369496197376,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,55,275,17865354463084643977,rpi5,1
f8r1yqsh,fedbuff,5,network_stressor_sweep,56,276,8604023571656330016,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,56,277,2941161713698846158,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,56,278,14273504822268314706,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,56,279,13203157195360056689,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,56,280,15850264181746673684,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,57,281,1287847929735971682,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,57,282,8772456477865701634,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,57,283,2149541508140645213,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,57,284,15227569813693182211,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,57,285,8335552894148306858,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,58,286,14244411391788972660,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,58,287,2597728084587060721,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,58,288,8604023571656330016,rpi5,2
f8r1yqsh,fedbuff,5,network_stressor_sweep,58,289,3881793369496197376,rpi4,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,58,290,16788588506036931967,rpi4,4
f8r1yqsh,fedbuff,5,network_stressor_sweep,59,291,14273504822268314706,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,59,292,2941161713698846158,rpi5,3
f8r1yqsh,fedbuff,5,network_stressor_sweep,59,293,15850264181746673684,rpi5,2
